time_interval_authentication (us),time_interval_association (us),time_interval_eapol_first (us),time_interval_eapol_second (us)
16517.63916015625,89445.11413574219,186164.37911987305,289456.844329834
17380.714416503906,72598.45733642578,186357.4981689453,285589.69497680664
35355.0910949707,107800.96054077148,192420.48263549805,278892.51708984375
19629.00161743164,49128.53240966797,197663.3071899414,246267.31872558594
19159.317016601562,93002.3193359375,191726.6845703125,230510.23483276367
26702.880859375,90391.63589477539,172851.0856628418,247764.58740234375
35958.290100097656,79803.466796875,229303.83682250977,267462.73040771484
29127.59780883789,83827.97241210938,241839.88571166992,261716.8426513672
35576.820373535156,98524.09362792969,298647.8805541992,257225.03662109375
14734.268188476562,90396.40426635742,234782.69577026367,258231.16302490234
32756.328582763672,63085.55603027344,268130.3024291992,250113.01040649414
17683.50601196289,92906.95190429688,287740.23056030273,224018.09692382812
29520.98846435547,77276.22985839844,239505.76782226562,236065.38772583008
22776.126861572266,88281.63146972656,249936.58065795898,279500.48446655273
18930.435180664062,122568.60733032227,186972.61810302734,260262.48931884766
36585.330963134766,98364.35317993164,183477.40173339844,256831.64596557617
27706.623077392578,95751.28555297852,187385.08224487305,252254.00924682617
34289.36004638672,66235.06546020508,186369.4190979004,239381.7901611328
25951.862335205078,102584.3620300293,187561.5119934082,224635.60104370117
38905.14373779297,106947.42202758789,286920.07064819336,257091.52221679688
43792.724609375,36246.77658081055,206170.08209228516,236768.7225341797
31025.409698486328,38194.65637207031,187017.91763305664,241830.34896850586
16121.864318847656,112373.82888793945,220849.51400756836,235478.87802124023
20506.38198852539,71756.83975219727,190365.31448364258,284059.0476989746
30210.018157958984,83711.14730834961,184757.70950317383,244510.17379760742
22165.775299072266,127887.72583007812,251736.64093017578,274713.03939819336
10094.642639160156,107095.24154663086,194158.55407714844,255262.8517150879
25615.692138671875,87230.20553588867,190117.35916137695,305860.0425720215
43771.26693725586,116646.28982543945,10508878.231048584,307149.88708496094
23097.991943359375,54242.610931396484,286753.17764282227,342299.9382019043
29268.264770507812,87096.6911315918,209231.37664794922,268754.9591064453
18947.124481201172,63669.681549072266,275986.1946105957,312366.4855957031
35769.93942260742,111248.49319458008,283074.37896728516,313646.7933654785
34177.303314208984,54178.23791503906,279109.4779968262,306265.35415649414
92.98324584960938,104134.08279418945,262491.70303344727,280351.6387939453
14579.296112060547,109176.6357421875,274775.02822875977,315339.5652770996
27935.504913330078,94518.66149902344,232512.9508972168,323915.4815673828
18174.64828491211,72276.59225463867,285303.59268188477,290868.28231811523
38712.0246887207,99089.14566040039,185668.4684753418,332260.1318359375
21080.970764160156,44665.33660888672,291252.13623046875,283024.3110656738
21595.95489501953,80025.19607543945,313968.6584472656,292868.61419677734
26476.383209228516,92306.13708496094,199146.27075195312,276551.2466430664
36079.88357543945,108788.01345825195,279185.7719421387,251388.5498046875
21896.3623046875,104646.68273925781,232913.49411010742,285537.2428894043
29010.772705078125,36404.13284301758,290305.61447143555,264425.27770996094
30822.75390625,44302.940368652344,10592727.661132812,250210.76202392578
32148.361206054688,69816.11251831055,275356.7695617676,266318.32122802734
39126.87301635742,106346.60720825195,200474.26223754883,231125.3547668457
92.98324584960938,100197.79205322266,277042.3889160156,277302.2651672363
17952.919006347656,62155.723571777344,276579.8568725586,280032.1578979492
30879.974365234375,109262.46643066406,184147.35794067383,273332.5958251953
32825.469970703125,109441.28036499023,292122.36404418945,253779.88815307617
32637.11929321289,137836.93313598633,258991.71829223633,262837.40997314453
24383.068084716797,102105.14068603516,211005.21087646484,270302.29568481445
135576.72500610352,108175.27770996094,217194.5571899414,294916.62979125977
26221.275329589844,105016.23153686523,210471.15325927734,265562.5343322754
107.28836059570312,76968.66989135742,315668.58291625977,275180.3398132324
14035.701751708984,83451.2710571289,298058.98666381836,243136.88278198242
24383.068084716797,112900.7339477539,204598.90365600586,298633.5754394531
53734.779357910156,138735.77117919922,288434.0286254883,309708.1184387207
15587.806701660156,73766.70837402344,286633.9683532715,313012.59994506836
17428.39813232422,191907.8826904297,186257.36236572266,314528.9421081543
16009.807586669922,109567.64221191406,272612.5717163086,318145.751953125
12214.183807373047,90031.62384033203,274121.7613220215,248131.75201416016
12373.924255371094,62453.7467956543,279450.4165649414,313506.1264038086
28762.8173828125,74412.82272338867,274245.7389831543,307826.9958496094
22103.78646850586,84488.3918762207,277872.08557128906,312981.60552978516
17921.924591064453,85597.03826904297,289058.6853027344,225460.52932739258
26671.886444091797,90806.48422241211,331194.4007873535,283970.83282470703
27220.24917602539,76909.06524658203,268995.7618713379,331306.45751953125
15659.332275390625,125136.3754272461,305171.01287841797,271322.72720336914
37627.220153808594,125999.45068359375,261969.56634521484,306215.2862548828
17750.263214111328,129644.87075805664,251507.75909423828,292806.62536621094
17971.99249267578,113742.35153198242,275650.0244140625,380020.1416015625
26919.841766357422,119678.97415161133,276651.38244628906,300631.5231323242
