seq_num, beacon_timestamp, beacon_interval (us), timestamp_deviation (us)
2866,60063644111,99231,3169
2867,60063795796,151685,-49285
2868,60063848561,52765,49635
2869,60063973315,124754,-22354
2870,60064070464,97149,5251
2871,60064156115,85651,16749
2872,60064256673,100558,1842
2873,60064398469,141796,-39396
2874,60064565060,166591,-64191
2875,60064668119,103059,-659
2876,60064770520,102401,-1
2877,60064871201,100681,1719
2878,60064989748,118547,-16147
2879,60065077741,87993,14407
2880,60065244122,166381,-63981
2881,60065280391,36269,66131
2882,60065383902,103511,-1111
2883,60065510125,126223,-23823
2891,60065794630,102282,118
2897,60065999330,102069,331
2898,60066102412,103082,-682
2901,60066306544,84943,17457
2908,60066618444,78834,23566
2911,60066818537,85031,17369
2912,60066938627,120090,-17690
2915,60067123598,76363,26037
2916,60067228142,104544,-2144
2917,60067345616,117474,-15074
2932,60068007339,164331,-61931
2933,60068053407,46068,56332
2936,60068257747,68463,33937
2939,60068558198,203648,-101248
2942,60068787803,123388,-20988
2943,60068866565,78762,23638
2944,60068970620,104055,-1655
2945,60069085799,115179,-12779
2946,60069181605,95806,6594
2952,60069480969,93301,9099
2966,60069891348,103159,-759
2967,60069992964,101616,784
2971,60070205581,107112,-4712
2972,60070312675,107094,-4694
2975,60070504987,104595,-2195
2976,60070625532,120545,-18145
2977,60070709770,84238,18162
2978,60070815947,106177,-3777
2979,60070924964,109017,-6617
2980,60071043312,118348,-15948
2981,60071119374,76062,26338
2982,60071221774,102400,0
2983,60071355959,134185,-31785
2984,60071439779,83820,18580
2985,60071526811,87032,15368
2990,60071760037,84121,18279
2991,60071836189,76152,26248
3000,60072243797,64453,37947
3003,60072450602,102418,-18
3011,60072857991,86843,15557
3012,60072960390,102399,1
3013,60073068558,108168,-5768
3014,60073195618,127060,-24660
3036,60073884199,86246,16154
3037,60074010765,126566,-24166
3041,60074317805,126393,-23993
3042,60074457648,139843,-37443
3043,60074504967,47319,55081
3052,60074908225,100150,2250
3053,60075011398,103173,-773
3054,60075114047,102649,-249
3055,60075216951,102904,-504
3056,60075315608,98657,3743
3057,60075443782,128174,-25774
3060,60075625015,100335,2065
3065,60075977748,129829,-27429
3066,60076033780,56032,46368
3067,60076137033,103253,-853
3068,60076237694,100661,1739
3069,60076353459,115765,-13365
3072,60076571668,113614,-11214
3076,60076751434,102395,5
3077,60076859323,107889,-5489
3078,60076955465,96142,6258
3079,60077057292,101827,573
3080,60077184025,126733,-24333
