seq_num, beacon_timestamp, beacon_interval, timestamp_deviation
3115,899131392387,102400,0
3116,899131494787,102400,0
3117,899131597187,102400,0
3118,899131699587,102400,0
3119,899131801987,102400,0
3120,899131904387,102400,0
3121,899132006787,102400,0
3122,899132109252,102465,-65
3123,899132211587,102335,65
3124,899132315354,103767,-1367
3125,899132416387,101033,1367
3126,899132518822,102435,-35
3127,899132624588,105766,-3366
3134,899133337987,102400,0
3137,899133645232,102445,-45
3138,899133747587,102355,45
3139,899133849987,102400,0
3142,899134157187,102400,0
3143,899134259587,102400,0
3144,899134361987,102400,0
3147,899134669187,102400,0
3148,899134771752,102565,-165
3149,899134873987,102235,165
3150,899134976387,102400,0
3151,899135078787,102400,0
3152,899135181187,102400,0
3153,899135283587,102400,0
3154,899135385987,102400,0
3155,899135488387,102400,0
3156,899135590787,102400,0
3157,899135693187,102400,0
3158,899135795587,102400,0
3159,899135897987,102400,0
3160,899136000387,102400,0
3161,899136102787,102400,0
3162,899136205187,102400,0
3163,899136307587,102400,0
3164,899136409987,102400,0
3165,899136512387,102400,0
3166,899136614787,102400,0
3167,899136719532,104745,-2345
3171,899136921987,102400,0
3174,899137229187,102400,0
3178,899137638787,102400,0
3179,899137741187,102400,0
3180,899137843587,102400,0
3183,899138150787,102400,0
3184,899138253187,102400,0
3185,899138355587,102400,0
3186,899138457987,102400,0
3187,899138560387,102400,0
3188,899138662787,102400,0
3189,899138765203,102416,-16
3190,899138867587,102384,16
3191,899138969987,102400,0
3192,899139072387,102400,0
3193,899139174787,102400,0
3194,899139277187,102400,0
3195,899139379587,102400,0
3196,899139481987,102400,0
3197,899139584387,102400,0
3198,899139686787,102400,0
3199,899139789187,102400,0
3200,899139891640,102453,-53
3201,899139994011,102371,29
3202,899140096387,102376,24
3203,899140198787,102400,0
3204,899140301187,102400,0
3205,899140403587,102400,0
3206,899140505987,102400,0
3207,899140608387,102400,0
3208,899140710787,102400,0
3209,899140813187,102400,0
3210,899140915587,102400,0
3211,899141018075,102488,-88
3212,899141120387,102312,88
3213,899141222787,102400,0
3214,899141325187,102400,0
3215,899141427587,102400,0
3216,899141529987,102400,0
3217,899141632387,102400,0
3218,899141734787,102400,0
3219,899141837187,102400,0
3220,899141939587,102400,0
3221,899142041987,102400,0
3222,899142144417,102430,-30
3223,899142246787,102370,30
3226,899142554313,102726,-326
3227,899142656387,102074,326
3228,899142758787,102400,0
3229,899142861187,102400,0
3230,899142963587,102400,0
3231,899143065987,102400,0
3232,899143168387,102400,0
3233,899143270787,102400,0
3234,899143373187,102400,0
3235,899143475587,102400,0
3236,899143578004,102417,-17
3237,899143680387,102383,17
3238,899143782787,102400,0
3239,899143885187,102400,0
3240,899143987587,102400,0
3241,899144089987,102400,0
3242,899144192387,102400,0
3243,899144294787,102400,0
3244,899144397187,102400,0
3245,899144499587,102400,0
3246,899144601987,102400,0
3247,899144704387,102400,0
3248,899144806787,102400,0
3249,899144909302,102515,-115
3250,899145011587,102285,115
3251,899145113987,102400,0
3252,899145216387,102400,0
3253,899145318787,102400,0
3254,899145421187,102400,0
3255,899145523587,102400,0
3256,899145625987,102400,0
3257,899145728387,102400,0
3258,899145830787,102400,0
