time_interval_authentication (us),time_interval_association (us),time_interval_eapol_first (us),time_interval_eapol_second (us)
8943.08090209961,12094.974517822266,267043.1137084961,232450.9620666504
8306.503295898438,17604.827880859375,130429.26788330078,158014.29748535156
47760.009765625,105602.74124145508,751771.9268798828,252442.3599243164
5950.927734375,17914.772033691406,127215.38543701172,149843.69277954102
26.226043701171875,20058.155059814453,265564.9185180664,163652.89688110352
163574.21875,89228.15322875977,155396.4614868164,309562.68310546875
7905.9600830078125,13132.095336914062,208926.20086669922,151414.8712158203
9229.183197021484,25506.019592285156,148797.03521728516,201544.76165771484
7567.405700683594,18553.733825683594,159995.55587768555,765838.623046875
43313.50326538086,17290.115356445312,149083.13751220703,178318.02368164062
7896.42333984375,16720.294952392578,182056.42700195312,233800.41122436523
8833.40835571289,15025.138854980469,127561.09237670898,952916.145324707
3304.4815063476562,21688.93814086914,170147.41897583008,225307.94143676758
26493.072509765625,19023.418426513672,167603.4927368164,305790.90118408203
215830.80291748047,39978.02734375,129313.46893310547,230093.00231933594
16772.747039794922,17473.697662353516,110964.77508544922,188324.4514465332
8485.31723022461,16472.339630126953,259866.71447753906,143911.83853149414
16300.678253173828,22013.187408447266,122492.31338500977,229120.25451660156
14340.877532958984,17211.437225341797,122590.0650024414,211758.61358642578
24304.38995361328,17511.844635009766,185141.56341552734,235080.71899414062
26812.55340576172,14569.759368896484,995039.9398803711,154986.38153076172
18880.367279052734,44372.0817565918,102629.6615600586,235850.81100463867
20368.099212646484,17297.26791381836,141127.1095275879,200448.03619384766
45.299530029296875,21500.587463378906,132217.4072265625,242598.0567932129
39737.22457885742,18384.456634521484,149929.52346801758,251581.66885375977
17700.1953125,27461.05194091797,159504.41360473633,244886.8751525879
26.226043701171875,36287.30773925781,85251.3313293457,228743.5531616211
12362.003326416016,22180.08041381836,179584.02633666992,783960.8192443848
16891.956329345703,17452.239990234375,164289.4744873047,215840.33966064453
9000.301361083984,50344.46716308594,74937.34359741211,302672.3861694336
27308.46405029297,43756.961822509766,74696.54083251953,233664.51263427734
18687.24822998047,18131.732940673828,154170.98999023438,234968.6622619629
13513.565063476562,22041.797637939453,157346.7254638672,168914.794921875
19104.480743408203,19123.554229736328,156636.23809814453,141856.67037963867
14114.3798828125,19028.186798095703,152921.6766357422,143685.34088134766
54.836273193359375,21948.814392089844,126523.97155761719,148594.37942504883
33640.86151123047,20539.76058959961,100314.61715698242,168168.5447692871
23.84185791015625,20825.862884521484,840523.2429504395,160250.66375732422
14429.092407226562,17807.483673095703,158894.06204223633,213601.58920288086
9129.047393798828,16715.526580810547,134937.76321411133,233106.6131591797
8211.135864257812,18317.699432373047,183565.61660766602,147256.85119628906
18112.659454345703,17085.07537841797,185387.13455200195,230658.05435180664
33.37860107421875,47.6837158203125,163259.50622558594,224292.27828979492
16200.542449951172,17652.511596679688,97432.13653564453,169527.53067016602
8401.870727539062,17178.058624267578,133090.01922607422,148835.1821899414
26466.846466064453,22382.736206054688,591700.0770568848,149362.08724975586
9167.194366455078,18889.904022216797,115296.84066772461,160963.5353088379
14972.686767578125,19822.120666503906,107555.38940429688,159671.30661010742
17383.098602294922,16982.555389404297,193679.3327331543,234091.28189086914
9682.178497314453,17046.92840576172,202708.24432373047,122706.89010620117
20942.68798828125,38.14697265625,154771.8048095703,161266.32690429688
8583.06884765625,20365.71502685547,114607.8109741211,151376.72424316406
8852.481842041016,17762.184143066406,226619.24362182617,160429.4776916504
11067.390441894531,16963.481903076172,196080.20782470703,163645.74432373047
22130.01251220703,20387.17269897461,155889.98794555664,155735.01586914062
20618.438720703125,16896.724700927734,198495.38803100586,153124.33242797852
16.689300537109375,17051.69677734375,168781.28051757812,148193.8362121582
